AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
Pathfinding.Examples.RTS.RTSUI.groundMask	rtsui.html#groundMask	
Pathfinding.Examples.RTS.RTSUI.hasSelected	rtsui.html#hasSelected	
Pathfinding.Examples.RTS.RTSUI.ignoreFrame	rtsui.html#ignoreFrame	
Pathfinding.Examples.RTS.RTSUI.menuItemPrefab	rtsui.html#menuItemPrefab	
Pathfinding.Examples.RTS.RTSUI.menuRoot	rtsui.html#menuRoot	
Pathfinding.Examples.RTS.RTSUI.notEnoughResources	rtsui.html#notEnoughResources	
Pathfinding.Examples.RTS.RTSUI.selectionBox	rtsui.html#selectionBox	
Pathfinding.Examples.RTS.RTSUI.state	rtsui.html#state	
Pathfinding.Examples.RTS.RTSUI.worldSpaceUI	rtsui.html#worldSpaceUI	
Pathfinding.Examples.RTS.RTSUnit.OnUpdateDelegate	rtsunit.html#OnUpdateDelegate	
Pathfinding.Examples.RTS.RTSUnit.Type	rtsunit.html#Type	
Pathfinding.Examples.RTS.RTSUnit.ai	rtsunit.html#ai	
Pathfinding.Examples.RTS.RTSUnit.attackTarget	rtsunit.html#attackTarget	
Pathfinding.Examples.RTS.RTSUnit.deathEffect	rtsunit.html#deathEffect	
Pathfinding.Examples.RTS.RTSUnit.detectionRange	rtsunit.html#detectionRange	
Pathfinding.Examples.RTS.RTSUnit.health	rtsunit.html#health	
Pathfinding.Examples.RTS.RTSUnit.lastDestination	rtsunit.html#lastDestination	
Pathfinding.Examples.RTS.RTSUnit.lastSeenAttackTarget	rtsunit.html#lastSeenAttackTarget	
Pathfinding.Examples.RTS.RTSUnit.locked	rtsunit.html#locked	
Pathfinding.Examples.RTS.RTSUnit.mSelected	rtsunit.html#mSelected	
Pathfinding.Examples.RTS.RTSUnit.maxHealth	rtsunit.html#maxHealth	
Pathfinding.Examples.RTS.RTSUnit.movementMode	rtsunit.html#movementMode	
Pathfinding.Examples.RTS.RTSUnit.onMakeActiveUnit	rtsunit.html#onMakeActiveUnit	
Pathfinding.Examples.RTS.RTSUnit.owner	rtsunit.html#owner	
Pathfinding.Examples.RTS.RTSUnit.position	rtsunit.html#position	Position at the start of the current frame.
Pathfinding.Examples.RTS.RTSUnit.radius	rtsunit.html#radius	
Pathfinding.Examples.RTS.RTSUnit.reachedDestination	rtsunit.html#reachedDestination	
Pathfinding.Examples.RTS.RTSUnit.reservedBy	rtsunit.html#reservedBy	
Pathfinding.Examples.RTS.RTSUnit.resource	rtsunit.html#resource	
Pathfinding.Examples.RTS.RTSUnit.rvo	rtsunit.html#rvo	
Pathfinding.Examples.RTS.RTSUnit.selected	rtsunit.html#selected	
Pathfinding.Examples.RTS.RTSUnit.selectionIndicator	rtsunit.html#selectionIndicator	
Pathfinding.Examples.RTS.RTSUnit.selectionIndicatorEnabled	rtsunit.html#selectionIndicatorEnabled	
Pathfinding.Examples.RTS.RTSUnit.storedCrystals	rtsunit.html#storedCrystals	
Pathfinding.Examples.RTS.RTSUnit.team	rtsunit.html#team	
Pathfinding.Examples.RTS.RTSUnit.transform	rtsunit.html#transform	
Pathfinding.Examples.RTS.RTSUnit.type	rtsunit.html#type	
Pathfinding.Examples.RTS.RTSUnit.weapon	rtsunit.html#weapon	
Pathfinding.Examples.RTS.RTSUnitBuilder.BuildingItem.cost	buildingitem.html#cost	
Pathfinding.Examples.RTS.RTSUnitBuilder.BuildingItem.menuItem	buildingitem.html#menuItem	
Pathfinding.Examples.RTS.RTSUnitBuilder.BuildingItem.prefab	buildingitem.html#prefab	
Pathfinding.Examples.RTS.RTSUnitBuilder.items	rtsunitbuilder.html#items	
Pathfinding.Examples.RTS.RTSUnitBuilder.menu	rtsunitbuilder.html#menu	
Pathfinding.Examples.RTS.RTSUnitBuilder.unit	rtsunitbuilder.html#unit	
Pathfinding.Examples.RTS.RTSUnitManager.activeUnit	rtsunitmanager.html#activeUnit	
Pathfinding.Examples.RTS.RTSUnitManager.batchSelection	rtsunitmanager.html#batchSelection	
Pathfinding.Examples.RTS.RTSUnitManager.cam	rtsunitmanager.html#cam	
Pathfinding.Examples.RTS.RTSUnitManager.mActiveUnit	rtsunitmanager.html#mActiveUnit	
Pathfinding.Examples.RTS.RTSUnitManager.selectedUnits	rtsunitmanager.html#selectedUnits	
Pathfinding.Examples.RTS.RTSUnitManager.units	rtsunitmanager.html#units	
Pathfinding.Examples.RTS.RTSWaveSpawner.Wave.count	wave.html#count	
Pathfinding.Examples.RTS.RTSWaveSpawner.Wave.delay	wave.html#delay	
Pathfinding.Examples.RTS.RTSWaveSpawner.Wave.health	wave.html#health	
Pathfinding.Examples.RTS.RTSWaveSpawner.Wave.prefab	wave.html#prefab	
Pathfinding.Examples.RTS.RTSWaveSpawner.Wave.spawnPoint	wave.html#spawnPoint	
Pathfinding.Examples.RTS.RTSWaveSpawner.target	rtswavespawner.html#target	
Pathfinding.Examples.RTS.RTSWaveSpawner.team	rtswavespawner.html#team	
Pathfinding.Examples.RTS.RTSWaveSpawner.waveCounter	rtswavespawner.html#waveCounter	
Pathfinding.Examples.RTS.RTSWaveSpawner.waves	rtswavespawner.html#waves	
Pathfinding.Examples.RTS.RTSWeapon.attackDuration	rtsweapon.html#attackDuration	
Pathfinding.Examples.RTS.RTSWeapon.canMoveWhileAttacking	rtsweapon.html#canMoveWhileAttacking	
Pathfinding.Examples.RTS.RTSWeapon.cooldown	rtsweapon.html#cooldown	
Pathfinding.Examples.RTS.RTSWeapon.isAttacking	rtsweapon.html#isAttacking	
Pathfinding.Examples.RTS.RTSWeapon.lastAttackTime	rtsweapon.html#lastAttackTime	
Pathfinding.Examples.RTS.RTSWeapon.range	rtsweapon.html#range	
Pathfinding.Examples.RTS.RTSWeapon.ranged	rtsweapon.html#ranged	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.damage	rtsweaponsimpleranged.html#damage	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.rotationRootY	rtsweaponsimpleranged.html#rotationRootY	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.rotationSpeed	rtsweaponsimpleranged.html#rotationSpeed	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.sfx	rtsweaponsimpleranged.html#sfx	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.sourceEffect	rtsweaponsimpleranged.html#sourceEffect	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.sourceEffectRoot	rtsweaponsimpleranged.html#sourceEffectRoot	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.targetEffect	rtsweaponsimpleranged.html#targetEffect	
Pathfinding.Examples.RTS.RTSWeaponSimpleRanged.volume	rtsweaponsimpleranged.html#volume	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.Item.screenOffset	item2.html#screenOffset	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.Item.tracking	item2.html#tracking	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.Item.transform	item2.html#transform	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.Item.valid	item2.html#valid	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.Item.worldOffset	item2.html#worldOffset	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.items	rtsworldspaceui.html#items	
Pathfinding.Examples.RTS.RTSWorldSpaceUI.worldCamera	rtsworldspaceui.html#worldCamera	
Pathfinding.Examples.RTS.ResourceType	rts.html#ResourceType	
Pathfinding.Examples.RTS.SimpleAction.action	simpleaction.html#action	
Pathfinding.Examples.RTS.Status	rts.html#Status	
Pathfinding.Examples.RTS.Value.Bound	value.html#Bound	
Pathfinding.Examples.RTS.Value.binding	value.html#binding	
Pathfinding.Examples.RTS.Value.val	value.html#val	
Pathfinding.Examples.RTS.Value.value	value.html#value	
Pathfinding.Examples.RTSTiltInMovementDirection.accelerationFraction	rtstiltinmovementdirection.html#accelerationFraction	
Pathfinding.Examples.RTSTiltInMovementDirection.ai	rtstiltinmovementdirection.html#ai	
Pathfinding.Examples.RTSTiltInMovementDirection.amount	rtstiltinmovementdirection.html#amount	
Pathfinding.Examples.RTSTiltInMovementDirection.lastVelocity	rtstiltinmovementdirection.html#lastVelocity	
Pathfinding.Examples.RTSTiltInMovementDirection.motorSound	rtstiltinmovementdirection.html#motorSound	
Pathfinding.Examples.RTSTiltInMovementDirection.smoothAcceleration	rtstiltinmovementdirection.html#smoothAcceleration	
Pathfinding.Examples.RTSTiltInMovementDirection.soundAdjustmentSpeed	rtstiltinmovementdirection.html#soundAdjustmentSpeed	
Pathfinding.Examples.RTSTiltInMovementDirection.soundGain	rtstiltinmovementdirection.html#soundGain	
Pathfinding.Examples.RTSTiltInMovementDirection.soundIdleVolume	rtstiltinmovementdirection.html#soundIdleVolume	
Pathfinding.Examples.RTSTiltInMovementDirection.soundPitchGain	rtstiltinmovementdirection.html#soundPitchGain	
Pathfinding.Examples.RTSTiltInMovementDirection.speed	rtstiltinmovementdirection.html#speed	
Pathfinding.Examples.RTSTiltInMovementDirection.target	rtstiltinmovementdirection.html#target	
Pathfinding.Examples.RVOAgentPlacer.agents	rvoagentplacer.html#agents	
Pathfinding.Examples.RVOAgentPlacer.goalOffset	rvoagentplacer.html#goalOffset	
Pathfinding.Examples.RVOAgentPlacer.mask	rvoagentplacer.html#mask	
Pathfinding.Examples.RVOAgentPlacer.prefab	rvoagentplacer.html#prefab	
Pathfinding.Examples.RVOAgentPlacer.rad2Deg	rvoagentplacer.html#rad2Deg	
Pathfinding.Examples.RVOAgentPlacer.repathRate	rvoagentplacer.html#repathRate	
Pathfinding.Examples.RVOAgentPlacer.ringSize	rvoagentplacer.html#ringSize	
Pathfinding.Examples.RVOExampleAgent.canSearchAgain	rvoexampleagent.html#canSearchAgain	
Pathfinding.Examples.RVOExampleAgent.controller	rvoexampleagent.html#controller	
Pathfinding.Examples.RVOExampleAgent.groundMask	rvoexampleagent.html#groundMask	
Pathfinding.Examples.RVOExampleAgent.maxSpeed	rvoexampleagent.html#maxSpeed	
Pathfinding.Examples.RVOExampleAgent.moveNextDist	rvoexampleagent.html#moveNextDist	
Pathfinding.Examples.RVOExampleAgent.nextRepath	rvoexampleagent.html#nextRepath	
Pathfinding.Examples.RVOExampleAgent.path	rvoexampleagent.html#path	
Pathfinding.Examples.RVOExampleAgent.rends	rvoexampleagent.html#rends	
Pathfinding.Examples.RVOExampleAgent.repathRate	rvoexampleagent.html#repathRate	
Pathfinding.Examples.RVOExampleAgent.seeker	rvoexampleagent.html#seeker	
Pathfinding.Examples.RVOExampleAgent.slowdownDistance	rvoexampleagent.html#slowdownDistance	
Pathfinding.Examples.RVOExampleAgent.target	rvoexampleagent.html#target	
Pathfinding.Examples.RVOExampleAgent.vectorPath	rvoexampleagent.html#vectorPath	
Pathfinding.Examples.RVOExampleAgent.wp	rvoexampleagent.html#wp	
Pathfinding.Examples.SmoothCameraFollow.damping	smoothcamerafollow.html#damping	
Pathfinding.Examples.SmoothCameraFollow.distance	smoothcamerafollow.html#distance	
Pathfinding.Examples.SmoothCameraFollow.enableRotation	smoothcamerafollow.html#enableRotation	
Pathfinding.Examples.SmoothCameraFollow.height	smoothcamerafollow.html#height	
Pathfinding.Examples.SmoothCameraFollow.rotationDamping	smoothcamerafollow.html#rotationDamping	
Pathfinding.Examples.SmoothCameraFollow.smoothRotation	smoothcamerafollow.html#smoothRotation	
Pathfinding.Examples.SmoothCameraFollow.staticOffset	smoothcamerafollow.html#staticOffset	
Pathfinding.Examples.SmoothCameraFollow.target	smoothcamerafollow.html#target	
Pathfinding.Examples.TurnBasedAI.blockManager	turnbasedai.html#blockManager	
Pathfinding.Examples.TurnBasedAI.blocker	turnbasedai.html#blocker	
Pathfinding.Examples.TurnBasedAI.movementPoints	turnbasedai.html#movementPoints	
Pathfinding.Examples.TurnBasedAI.targetNode	turnbasedai.html#targetNode	
Pathfinding.Examples.TurnBasedAI.traversalProvider	turnbasedai.html#traversalProvider	
Pathfinding.Examples.TurnBasedDoor.animator	turnbaseddoor.html#animator	
Pathfinding.Examples.TurnBasedDoor.blocker	turnbaseddoor.html#blocker	
Pathfinding.Examples.TurnBasedDoor.open	turnbaseddoor.html#open	
Pathfinding.Examples.TurnBasedManager.State	turnbasedmanager.html#State	
Pathfinding.Examples.TurnBasedManager.eventSystem	turnbasedmanager.html#eventSystem	
Pathfinding.Examples.TurnBasedManager.layerMask	turnbasedmanager.html#layerMask	
Pathfinding.Examples.TurnBasedManager.movementSpeed	turnbasedmanager.html#movementSpeed	
Pathfinding.Examples.TurnBasedManager.nodePrefab	turnbasedmanager.html#nodePrefab	
Pathfinding.Examples.TurnBasedManager.possibleMoves	turnbasedmanager.html#possibleMoves	
Pathfinding.Examples.TurnBasedManager.selected	turnbasedmanager.html#selected	
Pathfinding.Examples.TurnBasedManager.state	turnbasedmanager.html#state	
Pathfinding.FadeArea.animationSpeed	fadearea.html#animationSpeed	
Pathfinding.FadeArea.areaStyle	fadearea.html#areaStyle	
Pathfinding.FadeArea.editor	fadearea.html#editor	
Pathfinding.FadeArea.fancyEffects	fadearea.html#fancyEffects	Animate dropdowns when they open and close.
Pathfinding.FadeArea.labelStyle	fadearea.html#labelStyle	
Pathfinding.FadeArea.lastRect	fadearea.html#lastRect	
Pathfinding.FadeArea.lastUpdate	fadearea.html#lastUpdate	
Pathfinding.FadeArea.open	fadearea.html#open	Is this area open. \n\nThis is not the same as if any contents are visible, use BeginFade for that.
Pathfinding.FadeArea.value	fadearea.html#value	
Pathfinding.FadeArea.visible	fadearea.html#visible	
Pathfinding.FakeTransform.position	faketransform.html#position	
Pathfinding.FakeTransform.rotation	faketransform.html#rotation	
Pathfinding.FloodPath.TemporaryNodeBit	floodpath.html#TemporaryNodeBit	
Pathfinding.FloodPath.originalStartPoint	floodpath.html#originalStartPoint	
Pathfinding.FloodPath.parents	floodpath.html#parents	
Pathfinding.FloodPath.saveParents	floodpath.html#saveParents	If false, will not save any information. \n\nUsed by some internal parts of the system which doesn't need it.
Pathfinding.FloodPath.startNode	floodpath.html#startNode	
Pathfinding.FloodPath.startPoint	floodpath.html#startPoint	
Pathfinding.FloodPath.validationHash	floodpath.html#validationHash	
Pathfinding.FloodPathConstraint.path	floodpathconstraint.html#path	
Pathfinding.FloodPathTracer.flood	floodpathtracer.html#flood	Reference to the FloodPath which searched the path originally.
Pathfinding.FloodPathTracer.hasEndPoint	floodpathtracer.html#hasEndPoint	Determines if a search for an end node should be done. \n\nSet by different path types. \n\n[more in online documentation]
Pathfinding.FollowerEntity.FollowerEntityMigrations	followerentity.html#FollowerEntityMigrations	
Pathfinding.FollowerEntity.ScratchNNConstraint	followerentity.html#ScratchNNConstraint	Cached NNConstraint, to avoid allocations.
Pathfinding.FollowerEntity.ShapeGizmoColor	followerentity.html#ShapeGizmoColor	
Pathfinding.FollowerEntity.achetypeWorld	followerentity.html#achetypeWorld	
Pathfinding.FollowerEntity.agentCylinderShapeAccessRO	followerentity.html#agentCylinderShapeAccessRO	
Pathfinding.FollowerEntity.agentCylinderShapeAccessRW	followerentity.html#agentCylinderShapeAccessRW	
Pathfinding.FollowerEntity.agentOffMeshLinkTraversalRO	followerentity.html#agentOffMeshLinkTraversalRO	
Pathfinding.FollowerEntity.archetype	followerentity.html#archetype	
Pathfinding.FollowerEntity.autoRepath	followerentity.html#autoRepath	Policy for when the agent recalculates its path. \n\n[more in online documentation]
Pathfinding.FollowerEntity.autoRepathBacking	followerentity.html#autoRepathBacking	
Pathfinding.FollowerEntity.autoRepathPolicyRW	followerentity.html#autoRepathPolicyRW	
Pathfinding.FollowerEntity.canMove	followerentity.html#canMove	Enables or disables movement completely. \n\nIf you want the agent to stand still, but still react to local avoidance and use gravity: use isStopped instead.\n\nDisabling this will remove the SimulateMovement component from the entity, which prevents most systems from running for this entity.\n\nWhen disabled, the velocity property will no longer update.\n\n[more in online documentation]
Pathfinding.FollowerEntity.canSearch	followerentity.html#canSearch	Enables or disables recalculating the path at regular intervals. \n\nSetting this to false does not stop any active path requests from being calculated or stop it from continuing to follow the current path.\n\nNote that this only disables automatic path recalculations. If you call the SearchPath() method a path will still be calculated.\n\n[more in online documentation]
Pathfinding.FollowerEntity.currentNode	followerentity.html#currentNode	Node which the agent is currently traversing. \n\nYou can, for example, use this to make the agent use a different animation when traversing nodes with a specific tag.\n\n[more in online documentation]\nWhen traversing an off-mesh link, this will return the final non-link node in the path before the agent started traversing the link.
Pathfinding.FollowerEntity.debugFlags	followerentity.html#debugFlags	Enables or disables debug drawing for this agent. \n\nThis is a bitmask with multiple flags so that you can choose exactly what you want to debug.\n\n[more in online documentation]
Pathfinding.FollowerEntity.desiredVelocity	followerentity.html#desiredVelocity	Velocity that this agent wants to move with. \n\nIncludes gravity and local avoidance if applicable. In world units per second.\n\n[more in online documentation]
Pathfinding.FollowerEntity.desiredVelocityWithoutLocalAvoidance	followerentity.html#desiredVelocityWithoutLocalAvoidance	Velocity that this agent wants to move with before taking local avoidance into account. \n\nIncludes gravity. In world units per second.\n\nSetting this property will set the current velocity that the agent is trying to move with, including gravity. This can be useful if you want to make the agent come to a complete stop in a single frame or if you want to modify the velocity in some way.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]\n\n\nIf you are not using local avoidance then this property will in almost all cases be identical to desiredVelocity plus some noise due to floating point math.\n\n[more in online documentation]
Pathfinding.FollowerEntity.destination	followerentity.html#destination	Position in the world that this agent should move to. \n\nIf no destination has been set yet, then (+infinity, +infinity, +infinity) will be returned.\n\nSetting this property will immediately try to repair the path if the agent already has a path. This will also immediately update properties like reachedDestination, reachedEndOfPath and remainingDistance.\n\nThe agent may do a full path recalculation if the local repair was not sufficient, but this will at earliest happen in the next simulation step.\n\n<b>[code in online documentation]</b>\n\n[more in online documentation]
